Date,Well,Pot Gross,Pot Nett,Pot WC,Test,Date of Test,Production Zone,Status/Lifting,P.csg,P.tbg,P.fl,P.sep,Avg Prod Prev Month Gross,Avg Prod Prev Month Oil,Prev Day Gross,Prev Day Oil,Production Test Gross,Production Test Oil,Prod Act Gross,Prod Act Oil,Prod Act WC,Selisih Potensi,Selisih Last,Gas Inj (Mscfd),Gas Out SB (Mscfd),Gas Out SA (Mscfd),Gas Own (Mscfd),Tanggal Mulai Produksi,Keterangan,GS,CATEGORY,Bulan Ke,Date&Well,Struktur
2026-01-01,B-243,2667.0,88.0,96.70041244844394,,2025-12-28 00:00:00,P-45,104 Hz,113,114,114,26,2542.7166666666667,86.58333333333333,2642.0,82.0,2640.1262034,85.4236992,2642.0,82.0,96.89629068887207,-6.0,0.0,0,266.0,,266.0,BOR-10.06.24,,I,,1,46023B-243,Bunyu
2026-01-01,B-125,958.0,24.0,97.4947807933194,,2025-12-30 00:00:00,J-71L,SA 33,265,247,62,39,942.4,32.86666666666667,963.0,29.0,962.9384982,29.2605621,963.0,29.0,96.98857736240913,5.0,0.0,0,0.0,291.0,291.0,KUPL-30.03.25,,II,,1,46023B-125,Bunyu
2026-01-01,B-140,944.0,17.0,98.19915254237289,,2025-12-29 00:00:00,J-20/J-71,SB 33,345,62,43,36,752.0579427083334,24.597428385416666,793.0,21.5,986.8789581000002,26.600511,793.0,21.5,97.28877679697352,4.5,0.0,120,162.0,,42.0,PES - 19.01.24,,II,,1,46023B-140,Bunyu
2026-01-01,B-146,200.0,24.0,88.0,,2025-12-31 00:00:00,Y-20/Y-40U/Y-40L/X-30,SB OF,255,76,76,40,197.5,29.05,157.0,32.0,156.9430149,31.920613200000002,157.0,32.0,79.61783439490446,8.0,0.0,469,665.0,,196.0,PES - 23.05.24,,II,,1,46023B-146,Bunyu
2026-01-01,B-154,0.0,0.0,0.0,,2025-08-21 00:00:00,E-83,Tutup,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,KUPL-17.07.25,,II,,1,46023B-154,Bunyu
2026-01-01,B-160,2511.0,69.0,97.2520908004779,,2025-12-31 00:00:00,N-80,96 Hz,93,96,96,38,2514.9333333333334,66.16666666666667,2512.0,70.5,2524.3884939000004,74.48143080000001,2512.0,70.5,97.19347133757962,1.5,0.0,0,162.0,,162.0,PES - 29.03.22,,II,,1,46023B-160,Bunyu
2026-01-01,B-164,0.0,0.0,0.0,,2025-11-04 00:00:00,L-30,Tutup,0,0,0,0,395.8520833333333,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,PES-22.06.25,"Shut in, WC 100%",II,,1,46023B-164,Bunyu
2026-01-01,B-196,255.0,112.0,56.07843137254902,T,2026-01-01 00:00:00,C-70,SB 28,345,200,65,42,241.66666666666666,106.33333333333333,253.0,120.0,263.3450589,119.7022995,263.0,120.0,54.372623574144484,8.0,0.0,271,357.0,,86.0,PES -27.12.24,,II,,1,46023B-196,Bunyu
2026-01-01,B-210,90.0,0.0,100.0,T,2026-01-01 00:00:00,AA-20U &  AA-20L,SA 38,786,1129,78,40,0,0,90.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,1100.0,1100.0,KUPL-31.10.25,,II,,1,46023B-210,Bunyu
2026-01-01,B-214,35.0,32.0,8.571428571428571,T,2026-01-01 00:00:00,C-60,SB 33,275,94,59,37,127.25,124.2,29.5,26.5,34.5806643,31.920613200000002,32.25,29.25,9.30232558139535,-2.75,2.75,296,296.0,,0.0,KUPL-19.05.23,,II,,1,46023B-214,Bunyu
2026-01-01,B-234,413.5,50.5,87.78718258766627,,2025-12-31 00:00:00,R-50,SA 28,345,210,78,40,118.97222222222221,18.23888888888889,282.75,79.875,284.6254677,85.1216352,282.75,79.875,71.75066312997347,29.375,0.0,0,0.0,246.0,246.0,KUPL-12.11.25,,II,,1,46023B-234,Bunyu
2026-01-01,B-239,64.0,3.0,95.3125,T,2026-01-01 00:00:00,R-50/R-90,SB OF,275,58,58,42,47.93611111111111,6.326388888888889,53.0,8.0,31.920613200000002,5.3201022,32.0,5.0,84.375,2.0,-3.0,603,603.0,,0.0,KUPL-02.02.25,,II,,1,46023B-239,Bunyu
2026-01-01,BN-015,468.0,74.0,84.1880341880342,,2025-12-29 00:00:00,T-10/T-91,84 Hz,0,35,35,37,412.65,56.93333333333333,418.0,74.0,417.62802270000003,74.48143080000001,418.0,74.0,82.29665071770334,0.0,0.0,0,237.0,,237.0,PES-26.04.25,,II,,1,46023BN-015,Bunyu Nibung
2026-01-01,BN-058,375.0,37.0,90.13333333333333,T,2026-01-01 00:00:00,N-35,SB OF,322,97,97,41,346.51666666666665,39.93333333333333,231.0,45.0,375.0672051,50.5409709,375.0,51.0,86.4,14.0,6.0,429,429.0,,0.0,BOR-26.11.23,,II,,1,46023BN-058,Bunyu Nibung
2026-01-01,B-096,0.0,0.0,0.0,,2025-07-01 00:00:00,M-70,Tutup,0,0,0,0,,,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,KUPL-06.11.22,Program WO,III,,1,46023B-096,Bunyu
2026-01-01,B-126,0.0,0.0,0.0,,2025-12-31 00:00:00, C-70L/E-83,SB OF,355,41,41,30,0,0,184.0,0.0,183.51747288,0.0,184.0,0.0,100.0,0.0,0.0,305,305.0,,0.0,KUPL-14.12.25,,III,,1,46023B-126,Bunyu
2026-01-01,B-132,261.0,35.0,86.59003831417624,,2025-12-31 00:00:00,L-10,SB OF,280,40,40,29,262.34375,31.710416666666667,492.0,40.0,492.0396012,39.895102800000004,492.0,40.0,91.869918699187,5.0,0.0,190,190.0,,0.0,PES - 02.08.23,,III,,1,46023B-132,Bunyu
